,facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
214,City General Hospital,,,,
215,Cardiology Specialty Center,,,,
216,Community Health Clinic,,,,
217,Community Health Clinic,,,,
218,Surgical Specialty Center,,,,
219,Pediatric Care Center,,,,
220,Community Health Clinic,,,,
221,Regional Medical Center,,,,
222,Oncology Treatment Center,,,,
223,Primary Care Clinic,,,,
224,Surgical Specialty Center,,,,
225,Primary Care Clinic,,,,
226,Community Health Clinic,,,,
227,Primary Care Clinic,,,,
228,Surgical Specialty Center,,,,
229,Oncology Treatment Center,,,,
230,City General Hospital,,,,
231,Oncology Treatment Center,,,,
232,Cardiology Specialty Center,,,,
233,Cardiology Specialty Center,,,,
234,Community Health Clinic,,,,
235,Northside Urgent Care,,,,
236,Primary Care Clinic,,,,
237,Oncology Treatment Center,,,,
238,Surgical Specialty Center,,,,
239,Northside Urgent Care,,,,
240,Pediatric Care Center,,,,
241,City General Hospital,,,,
242,Surgical Specialty Center,,,,
243,City General Hospital,,,,
244,Surgical Specialty Center,,,,
245,Oncology Treatment Center,,,,
246,Emergency Medical Center,,,,
247,Community Health Clinic,,,,
248,Cardiology Specialty Center,,,,
249,Surgical Specialty Center,,,,
250,City General Hospital,,,,
251,Northside Urgent Care,,,,
252,Pediatric Care Center,,,,
253,Emergency Medical Center,,,,
254,Pediatric Care Center,,,,
255,Oncology Treatment Center,,,,
256,Pediatric Care Center,,,,
257,Regional Medical Center,,,,
258,Emergency Medical Center,,,,
259,Northside Urgent Care,,,,
260,Primary Care Clinic,,,,
261,Surgical Specialty Center,,,,
262,Pediatric Care Center,,,,
263,Regional Medical Center,,,,
264,Northside Urgent Care,,,,
265,Oncology Treatment Center,,,,
266,Oncology Treatment Center,,,,
267,Oncology Treatment Center,,,,
268,Regional Medical Center,,,,
269,Emergency Medical Center,,,,
270,Pediatric Care Center,,,,
271,Pediatric Care Center,,,,
272,Community Health Clinic,,,,
273,Primary Care Clinic,,,,
274,Primary Care Clinic,,,,
275,Surgical Specialty Center,,,,
276,Northside Urgent Care,,,,
277,Surgical Specialty Center,,,,
278,Cardiology Specialty Center,,,,
279,Primary Care Clinic,,,,
280,Cardiology Specialty Center,,,,
281,City General Hospital,,,,
282,Emergency Medical Center,,,,
283,Pediatric Care Center,,,,
284,Pediatric Care Center,,,,
285,Regional Medical Center,,,,
286,Emergency Medical Center,,,,
287,Regional Medical Center,,,,
288,Cardiology Specialty Center,,,,
289,City General Hospital,,,,
290,Primary Care Clinic,,,,
291,Primary Care Clinic,,,,
292,Emergency Medical Center,,,,
293,Oncology Treatment Center,,,,
294,Community Health Clinic,,,,
295,Emergency Medical Center,,,,
296,City General Hospital,,,,
297,Regional Medical Center,,,,
298,Regional Medical Center,,,,
299,Primary Care Clinic,,,,
300,Community Health Clinic,,,,
301,Emergency Medical Center,,,,
302,Primary Care Clinic,,,,
303,Oncology Treatment Center,,,,
304,Primary Care Clinic,,,,
305,Regional Medical Center,,,,
306,City General Hospital,,,,
307,Pediatric Care Center,,,,
308,Emergency Medical Center,,,,
309,Pediatric Care Center,,,,
310,Primary Care Clinic,,,,
311,Regional Medical Center,,,,
312,Northside Urgent Care,,,,
313,Primary Care Clinic,,,,
314,Cardiology Specialty Center,,,,
315,Pediatric Care Center,,,,
316,Community Health Clinic,,,,
317,Surgical Specialty Center,,,,
318,Regional Medical Center,,,,
319,Pediatric Care Center,,,,
320,Oncology Treatment Center,,,,
321,Pediatric Care Center,,,,
322,Primary Care Clinic,,,,
323,Oncology Treatment Center,,,,
324,Oncology Treatment Center,,,,
325,Emergency Medical Center,,,,
326,City General Hospital,,,,
327,Regional Medical Center,,,,
328,Community Health Clinic,,,,
329,Emergency Medical Center,,,,
330,City General Hospital,,,,
331,Pediatric Care Center,,,,
332,Primary Care Clinic,,,,
333,City General Hospital,,,,
334,City General Hospital,,,,
335,Cardiology Specialty Center,,,,
336,City General Hospital,,,,
337,City General Hospital,,,,
338,Emergency Medical Center,,,,
339,City General Hospital,,,,
340,Pediatric Care Center,,,,
341,Northside Urgent Care,,,,
342,Emergency Medical Center,,,,
343,Pediatric Care Center,,,,
344,Regional Medical Center,,,,
345,Primary Care Clinic,,,,
346,Community Health Clinic,,,,
347,Cardiology Specialty Center,,,,
348,City General Hospital,,,,
349,Northside Urgent Care,,,,
350,Oncology Treatment Center,,,,
351,Oncology Treatment Center,,,,
352,Northside Urgent Care,,,,
353,Pediatric Care Center,,,,
354,Pediatric Care Center,,,,
355,Northside Urgent Care,,,,
356,City General Hospital,,,,
357,Primary Care Clinic,,,,
358,Community Health Clinic,,,,
359,Cardiology Specialty Center,,,,
360,Community Health Clinic,,,,
361,Emergency Medical Center,,,,
362,Community Health Clinic,,,,
363,Northside Urgent Care,,,,
364,Cardiology Specialty Center,,,,
365,Community Health Clinic,,,,
366,City General Hospital,,,,
367,Cardiology Specialty Center,,,,
368,Surgical Specialty Center,,,,
369,Pediatric Care Center,,,,
370,Community Health Clinic,,,,
371,Surgical Specialty Center,,,,
372,City General Hospital,,,,
373,Northside Urgent Care,,,,
374,Northside Urgent Care,,,,
375,Cardiology Specialty Center,,,,
376,Cardiology Specialty Center,,,,
377,Oncology Treatment Center,,,,
378,Community Health Clinic,,,,
379,Surgical Specialty Center,,,,
380,City General Hospital,,,,
381,Primary Care Clinic,,,,
382,Emergency Medical Center,,,,
383,Community Health Clinic,,,,
384,Oncology Treatment Center,,,,
385,Oncology Treatment Center,,,,
386,City General Hospital,,,,
387,Primary Care Clinic,,,,
388,Pediatric Care Center,,,,
389,Community Health Clinic,,,,
390,Cardiology Specialty Center,,,,
391,Emergency Medical Center,,,,
392,City General Hospital,,,,
393,Oncology Treatment Center,,,,
394,Community Health Clinic,,,,
395,Pediatric Care Center,,,,
396,Primary Care Clinic,,,,
397,Northside Urgent Care,,,,
398,Cardiology Specialty Center,,,,
399,Northside Urgent Care,,,,
400,City General Hospital,,,,
401,Community Health Clinic,,,,
402,City General Hospital,,,,
403,Cardiology Specialty Center,,,,
404,Northside Urgent Care,,,,
405,Regional Medical Center,,,,
406,Community Health Clinic,,,,
407,Surgical Specialty Center,,,,
408,Oncology Treatment Center,,,,
409,Emergency Medical Center,,,,
410,Northside Urgent Care,,,,
411,City General Hospital,,,,
412,Cardiology Specialty Center,,,,
413,Regional Medical Center,,,,
414,Pediatric Care Center,,,,
415,Surgical Specialty Center,,,,
416,Regional Medical Center,,,,
417,City General Hospital,,,,
418,Regional Medical Center,,,,
419,Surgical Specialty Center,,,,
420,Emergency Medical Center,,,,
421,Oncology Treatment Center,,,,
422,Primary Care Clinic,,,,
423,Community Health Clinic,,,,
424,Primary Care Clinic,,,,
425,City General Hospital,,,,
426,Cardiology Specialty Center,,,,
427,Northside Urgent Care,,,,
428,Community Health Clinic,,,,
429,Primary Care Clinic,,,,
430,City General Hospital,,,,
431,Oncology Treatment Center,,,,
432,Community Health Clinic,,,,
433,Regional Medical Center,,,,
434,Community Health Clinic,,,,
435,Emergency Medical Center,,,,
436,Pediatric Care Center,,,,
437,Primary Care Clinic,,,,
438,Community Health Clinic,,,,
439,Regional Medical Center,,,,
440,Northside Urgent Care,,,,
441,Oncology Treatment Center,,,,
442,Emergency Medical Center,,,,
443,Emergency Medical Center,,,,
444,Surgical Specialty Center,,,,
445,Pediatric Care Center,,,,
446,Emergency Medical Center,,,,
447,Emergency Medical Center,,,,
448,Primary Care Clinic,,,,
449,Oncology Treatment Center,,,,
450,Emergency Medical Center,,,,
451,Cardiology Specialty Center,,,,
452,Pediatric Care Center,,,,
453,Cardiology Specialty Center,,,,
454,Surgical Specialty Center,,,,
455,Surgical Specialty Center,,,,
456,Regional Medical Center,,,,
457,Oncology Treatment Center,,,,
458,Pediatric Care Center,,,,
459,Surgical Specialty Center,,,,
460,Northside Urgent Care,,,,
461,Cardiology Specialty Center,,,,
462,City General Hospital,,,,
463,Oncology Treatment Center,,,,
464,Cardiology Specialty Center,,,,
465,Community Health Clinic,,,,
466,Northside Urgent Care,,,,
467,Oncology Treatment Center,,,,
468,Surgical Specialty Center,,,,
469,Northside Urgent Care,,,,
470,Surgical Specialty Center,,,,
471,Surgical Specialty Center,,,,
472,Northside Urgent Care,,,,
473,Regional Medical Center,,,,
474,Regional Medical Center,,,,
475,Primary Care Clinic,,,,
476,Surgical Specialty Center,,,,
477,Regional Medical Center,,,,
478,Northside Urgent Care,,,,
479,Oncology Treatment Center,,,,
480,Oncology Treatment Center,,,,
481,Community Health Clinic,,,,
482,Pediatric Care Center,,,,
483,City General Hospital,,,,
484,Regional Medical Center,,,,
485,Pediatric Care Center,,,,
486,Cardiology Specialty Center,,,,
487,Community Health Clinic,,,,
488,Pediatric Care Center,,,,
489,Community Health Clinic,,,,
490,City General Hospital,,,,
491,Primary Care Clinic,,,,
492,Primary Care Clinic,,,,
493,Pediatric Care Center,,,,
494,Community Health Clinic,,,,
495,Primary Care Clinic,,,,
496,Emergency Medical Center,,,,
497,Surgical Specialty Center,,,,
498,Emergency Medical Center,,,,
499,Emergency Medical Center,,,,
500,Pediatric Care Center,,,,
501,Surgical Specialty Center,,,,
502,City General Hospital,,,,
503,Pediatric Care Center,,,,
504,Surgical Specialty Center,,,,
505,Oncology Treatment Center,,,,
506,Pediatric Care Center,,,,
507,Primary Care Clinic,,,,
508,Regional Medical Center,,,,
509,Primary Care Clinic,,,,
510,Community Health Clinic,,,,
511,Regional Medical Center,,,,
512,Community Health Clinic,,,,
513,Primary Care Clinic,,,,
514,Primary Care Clinic,,,,
515,Emergency Medical Center,,,,
516,Regional Medical Center,,,,
517,Pediatric Care Center,,,,
518,Cardiology Specialty Center,,,,
519,Primary Care Clinic,,,,
520,Regional Medical Center,,,,
521,Primary Care Clinic,,,,
522,Emergency Medical Center,,,,
523,Pediatric Care Center,,,,
524,Community Health Clinic,,,,
525,Pediatric Care Center,,,,
526,Cardiology Specialty Center,,,,
527,Surgical Specialty Center,,,,
528,City General Hospital,,,,
529,Oncology Treatment Center,,,,
530,Surgical Specialty Center,,,,
531,City General Hospital,,,,
532,Cardiology Specialty Center,,,,
533,Community Health Clinic,,,,
534,Surgical Specialty Center,,,,
535,Northside Urgent Care,,,,
536,Oncology Treatment Center,,,,
537,Pediatric Care Center,,,,
538,Community Health Clinic,,,,
539,Surgical Specialty Center,,,,
540,Community Health Clinic,,,,
541,Cardiology Specialty Center,,,,
542,Regional Medical Center,,,,
543,Emergency Medical Center,,,,
544,City General Hospital,,,,
545,Community Health Clinic,,,,
546,Oncology Treatment Center,,,,
547,Emergency Medical Center,,,,
548,Emergency Medical Center,,,,
549,Community Health Clinic,,,,
550,Northside Urgent Care,,,,
551,Emergency Medical Center,,,,
552,Community Health Clinic,,,,
553,Surgical Specialty Center,,,,
554,Pediatric Care Center,,,,
555,Surgical Specialty Center,,,,
556,Regional Medical Center,,,,
557,Oncology Treatment Center,,,,
558,Emergency Medical Center,,,,
559,Pediatric Care Center,,,,
560,City General Hospital,,,,
561,Community Health Clinic,,,,
562,Regional Medical Center,,,,
563,Regional Medical Center,,,,
564,City General Hospital,,,,
565,Surgical Specialty Center,,,,
566,Emergency Medical Center,,,,
567,Primary Care Clinic,,,,
568,City General Hospital,,,,
569,Pediatric Care Center,,,,
570,Pediatric Care Center,,,,
571,Pediatric Care Center,,,,
572,Emergency Medical Center,,,,
573,Primary Care Clinic,,,,
574,Primary Care Clinic,,,,
575,Oncology Treatment Center,,,,
576,Emergency Medical Center,,,,
577,City General Hospital,,,,
578,Pediatric Care Center,,,,
579,Oncology Treatment Center,,,,
580,Surgical Specialty Center,,,,
581,Pediatric Care Center,,,,
582,Cardiology Specialty Center,,,,
583,Pediatric Care Center,,,,
584,Northside Urgent Care,,,,
585,City General Hospital,,,,
586,Northside Urgent Care,,,,
587,Regional Medical Center,,,,
588,Pediatric Care Center,,,,
589,Pediatric Care Center,,,,
590,Primary Care Clinic,,,,
591,Emergency Medical Center,,,,
592,Community Health Clinic,,,,
593,Oncology Treatment Center,,,,
594,Pediatric Care Center,,,,
595,Surgical Specialty Center,,,,
596,Regional Medical Center,,,,
597,Northside Urgent Care,,,,
598,City General Hospital,,,,
599,Cardiology Specialty Center,,,,
600,City General Hospital,,,,
601,Oncology Treatment Center,,,,
602,Primary Care Clinic,,,,
603,City General Hospital,,,,
604,Surgical Specialty Center,,,,
605,Oncology Treatment Center,,,,
606,Regional Medical Center,,,,
607,Northside Urgent Care,,,,
608,Northside Urgent Care,,,,
609,Primary Care Clinic,,,,
610,Northside Urgent Care,,,,
611,Northside Urgent Care,,,,
612,Surgical Specialty Center,,,,
613,Pediatric Care Center,,,,
614,Emergency Medical Center,,,,
615,Oncology Treatment Center,,,,
616,Cardiology Specialty Center,,,,
617,Surgical Specialty Center,,,,
618,Surgical Specialty Center,,,,
619,City General Hospital,,,,
620,Primary Care Clinic,,,,
621,Pediatric Care Center,,,,
622,Surgical Specialty Center,,,,
623,Community Health Clinic,,,,
624,Community Health Clinic,,,,
625,Primary Care Clinic,,,,
626,Primary Care Clinic,,,,
627,Pediatric Care Center,,,,
628,Community Health Clinic,,,,
629,Cardiology Specialty Center,,,,
630,Surgical Specialty Center,,,,
631,Northside Urgent Care,,,,
632,Northside Urgent Care,,,,
633,City General Hospital,,,,
634,Primary Care Clinic,,,,
635,Northside Urgent Care,,,,
636,Primary Care Clinic,,,,
637,Surgical Specialty Center,,,,
638,Surgical Specialty Center,,,,
639,Northside Urgent Care,,,,
640,Surgical Specialty Center,,,,
641,Oncology Treatment Center,,,,
642,Surgical Specialty Center,,,,
643,Regional Medical Center,,,,
644,Oncology Treatment Center,,,,
645,Surgical Specialty Center,,,,
646,Regional Medical Center,,,,
647,Surgical Specialty Center,,,,
648,Regional Medical Center,,,,
649,Cardiology Specialty Center,,,,
650,Emergency Medical Center,,,,
651,Primary Care Clinic,,,,
652,City General Hospital,,,,
653,Primary Care Clinic,,,,
654,Community Health Clinic,,,,
655,Cardiology Specialty Center,,,,
656,Pediatric Care Center,,,,
657,Emergency Medical Center,,,,
658,City General Hospital,,,,
659,Oncology Treatment Center,,,,
660,Community Health Clinic,,,,
661,City General Hospital,,,,
662,Northside Urgent Care,,,,
663,Cardiology Specialty Center,,,,
664,Primary Care Clinic,,,,
665,Northside Urgent Care,,,,
666,Community Health Clinic,,,,
667,Primary Care Clinic,,,,
668,Emergency Medical Center,,,,
669,City General Hospital,,,,
670,Emergency Medical Center,,,,
671,Emergency Medical Center,,,,
672,City General Hospital,,,,
673,Emergency Medical Center,,,,
674,City General Hospital,,,,
675,City General Hospital,,,,
676,Pediatric Care Center,,,,
677,Community Health Clinic,,,,
678,Surgical Specialty Center,,,,
679,Surgical Specialty Center,,,,
680,Surgical Specialty Center,,,,
681,Pediatric Care Center,,,,
682,Primary Care Clinic,,,,
683,Cardiology Specialty Center,,,,
684,Oncology Treatment Center,,,,
685,Surgical Specialty Center,,,,
686,Emergency Medical Center,,,,
687,Northside Urgent Care,,,,
688,Regional Medical Center,,,,
689,Regional Medical Center,,,,
690,City General Hospital,,,,
691,Emergency Medical Center,,,,
692,Primary Care Clinic,,,,
693,Oncology Treatment Center,,,,
694,Pediatric Care Center,,,,
695,Primary Care Clinic,,,,
696,Oncology Treatment Center,,,,
697,City General Hospital,,,,
698,Cardiology Specialty Center,,,,
699,Cardiology Specialty Center,,,,
700,Community Health Clinic,,,,
701,City General Hospital,,,,
702,Primary Care Clinic,,,,
703,Primary Care Clinic,,,,
704,Community Health Clinic,,,,
705,Northside Urgent Care,,,,
706,City General Hospital,,,,
707,Oncology Treatment Center,,,,
708,Surgical Specialty Center,,,,
709,Pediatric Care Center,,,,
710,City General Hospital,,,,
711,Cardiology Specialty Center,,,,
712,City General Hospital,,,,
713,Cardiology Specialty Center,,,,
714,Community Health Clinic,,,,
715,Northside Urgent Care,,,,
716,Community Health Clinic,,,,
717,Cardiology Specialty Center,,,,
718,Pediatric Care Center,,,,
719,Primary Care Clinic,,,,
720,Community Health Clinic,,,,
721,Northside Urgent Care,,,,
722,Pediatric Care Center,,,,
723,Cardiology Specialty Center,,,,
724,Community Health Clinic,,,,
725,Cardiology Specialty Center,,,,
726,Pediatric Care Center,,,,
727,City General Hospital,,,,
728,City General Hospital,,,,
729,Northside Urgent Care,,,,
730,City General Hospital,,,,
731,Regional Medical Center,,,,
732,Community Health Clinic,,,,
733,Northside Urgent Care,,,,
734,Pediatric Care Center,,,,
735,Surgical Specialty Center,,,,
736,Primary Care Clinic,,,,
737,Community Health Clinic,,,,
738,Pediatric Care Center,,,,
739,Northside Urgent Care,,,,
740,Northside Urgent Care,,,,
741,Northside Urgent Care,,,,
742,Pediatric Care Center,,,,
743,Northside Urgent Care,,,,
744,Northside Urgent Care,,,,
745,Primary Care Clinic,,,,
746,Cardiology Specialty Center,,,,
747,Surgical Specialty Center,,,,
748,Community Health Clinic,,,,
749,Primary Care Clinic,,,,
750,Primary Care Clinic,,,,
751,Community Health Clinic,,,,
752,City General Hospital,,,,
753,Oncology Treatment Center,,,,
754,Pediatric Care Center,,,,
755,Emergency Medical Center,,,,
756,Pediatric Care Center,,,,
757,Cardiology Specialty Center,,,,
758,Community Health Clinic,,,,
759,Emergency Medical Center,,,,
760,City General Hospital,,,,
761,Northside Urgent Care,,,,
762,Northside Urgent Care,,,,
763,Oncology Treatment Center,,,,
764,Oncology Treatment Center,,,,
765,Regional Medical Center,,,,
766,Pediatric Care Center,,,,
767,Community Health Clinic,,,,
768,Emergency Medical Center,,,,
769,Primary Care Clinic,,,,
770,Oncology Treatment Center,,,,
771,Emergency Medical Center,,,,
772,Oncology Treatment Center,,,,
773,Cardiology Specialty Center,,,,
774,Emergency Medical Center,,,,
775,Regional Medical Center,,,,
776,Oncology Treatment Center,,,,
777,Primary Care Clinic,,,,
778,Regional Medical Center,,,,
779,Community Health Clinic,,,,
780,Regional Medical Center,,,,
781,Cardiology Specialty Center,,,,
782,Regional Medical Center,,,,
783,Surgical Specialty Center,,,,
784,Emergency Medical Center,,,,
785,Surgical Specialty Center,,,,
786,City General Hospital,,,,
787,Surgical Specialty Center,,,,
788,Community Health Clinic,,,,
789,Pediatric Care Center,,,,
790,Regional Medical Center,,,,
791,Emergency Medical Center,,,,
792,Surgical Specialty Center,,,,
793,Regional Medical Center,,,,
794,Emergency Medical Center,,,,
795,Emergency Medical Center,,,,
796,Surgical Specialty Center,,,,
797,Oncology Treatment Center,,,,
798,Emergency Medical Center,,,,
799,Regional Medical Center,,,,
800,City General Hospital,,,,
801,Emergency Medical Center,,,,
802,Primary Care Clinic,,,,
803,Regional Medical Center,,,,
804,Surgical Specialty Center,,,,
805,Primary Care Clinic,,,,
806,Community Health Clinic,,,,
807,Northside Urgent Care,,,,
808,Emergency Medical Center,,,,
809,Regional Medical Center,,,,
810,Surgical Specialty Center,,,,
811,Regional Medical Center,,,,
812,Pediatric Care Center,,,,
813,Pediatric Care Center,,,,
814,Pediatric Care Center,,,,
815,Pediatric Care Center,,,,
816,Oncology Treatment Center,,,,
817,Emergency Medical Center,,,,
818,Primary Care Clinic,,,,
819,Surgical Specialty Center,,,,
820,Regional Medical Center,,,,
821,Cardiology Specialty Center,,,,
822,Northside Urgent Care,,,,
823,Cardiology Specialty Center,,,,
824,Regional Medical Center,,,,
825,Primary Care Clinic,,,,
826,Northside Urgent Care,,,,
827,City General Hospital,,,,
828,City General Hospital,,,,
829,City General Hospital,,,,
830,Surgical Specialty Center,,,,
831,Oncology Treatment Center,,,,
832,Emergency Medical Center,,,,
833,Surgical Specialty Center,,,,
834,Cardiology Specialty Center,,,,
835,Surgical Specialty Center,,,,
836,Primary Care Clinic,,,,
837,Cardiology Specialty Center,,,,
838,Emergency Medical Center,,,,
839,Regional Medical Center,,,,
840,City General Hospital,,,,
841,Regional Medical Center,,,,
842,Pediatric Care Center,,,,
843,City General Hospital,,,,
844,Surgical Specialty Center,,,,
845,Surgical Specialty Center,,,,
846,Oncology Treatment Center,,,,
847,Pediatric Care Center,,,,
848,Regional Medical Center,,,,
849,Cardiology Specialty Center,,,,
850,Oncology Treatment Center,,,,
851,City General Hospital,,,,
852,Surgical Specialty Center,,,,
853,Northside Urgent Care,,,,
854,Primary Care Clinic,,,,
855,Oncology Treatment Center,,,,
856,Primary Care Clinic,,,,
857,Pediatric Care Center,,,,
858,Oncology Treatment Center,,,,
859,Northside Urgent Care,,,,
860,Cardiology Specialty Center,,,,
861,Cardiology Specialty Center,,,,
862,Surgical Specialty Center,,,,
863,Surgical Specialty Center,,,,
864,City General Hospital,,,,
865,Regional Medical Center,,,,
866,Surgical Specialty Center,,,,
867,Regional Medical Center,,,,
868,Emergency Medical Center,,,,
869,Regional Medical Center,,,,
870,Surgical Specialty Center,,,,
871,Emergency Medical Center,,,,
872,Northside Urgent Care,,,,
873,Emergency Medical Center,,,,
874,Surgical Specialty Center,,,,
875,Cardiology Specialty Center,,,,
876,Cardiology Specialty Center,,,,
